date,quarter,mesghal,usd
2022-09-18,50000000,56580000,316540
2022-09-19,49770000,56650000,316740
2022-09-20,49400000,57240000,317130
2022-09-21,50000000,57750000,316730
2022-09-22,50000000,57750000,316660
2022-09-24,50120000,56830000,317010
2022-09-28,50500000,57600000,318440
2022-09-29,50500000,57600000,318480
2022-10-01,53500000,59680000,331520
2022-10-02,53500000,60360000,332420
2022-10-03,53000000,60610000,330950
2022-10-04,53000000,60610000,331020
2022-10-05,52700000,59783000,326316
2022-10-08,51900000,58550000,323070
2022-10-09,51500000,58640000,324910
2022-10-10,51800000,58850000,327410
2022-10-11,52000000,58970000,326480
2022-10-12,52500000,58930000,329540
2022-10-13,52500000,58930000,329460
2022-10-15,52200000,58680000,331210
2022-10-16,52300000,58410000,328570
2022-10-17,52000000,58250000,328450
2022-10-18,51500000,58020000,327940
2022-10-19,51300000,58110000,326510
2022-10-20,51300000,58110000,326550
2022-10-22,51200000,58110000,328120
2022-10-23,51000000,57910000,327630
2022-10-24,51200000,58390000,328700
2022-10-25,51300000,58920000,328880
2022-10-26,51500000,59040000,330570
2022-10-27,51500000,59040000,330520
2022-10-29,52800000,58730000,329740
2022-10-30,53300000,58910000,332450
2022-10-31,54000000,59570000,334720
2022-11-01,56000000,60480000,346060
2022-11-02,56200000,60330000,350163
2022-11-05,58500000,64140000,362640
2022-11-06,59500000,64360000,361970
2022-11-07,58500000,63910000,361830
2022-11-08,59000000,63560000,354010
2022-11-09,58000000,63540000,350590
2022-11-10,58000000,63540000,350590
2022-11-12,58500000,64430000,354420
2022-11-13,58600000,65330000,358010
2022-11-14,59500000,65870000,355950
2022-11-15,59000000,65620000,354669
2022-11-16,58700000,64350000,349704
2022-11-19,58500000,65020000,353091
2022-11-20,58360000,64620000,357042
2022-11-21,58500000,64960000,356580
2022-11-22,58800000,64810000,355126
2022-11-23,59500000,65160000,354593
2022-11-24,59500000,65160000,349900
2022-11-26,59800000,66250000,360114
2022-11-27,62800000,66240000,360350
2022-11-28,63000000,66170000,355050
2022-11-29,63800000,67320000,357000
2022-11-30,65300000,68320000,358880
2022-12-01,65300000,68320000,357950
2022-12-03,69000000,69060000,363110
2022-12-04,71000000,68490000,363150
2022-12-05,72000000,68170000,361870
2022-12-07,73150000,69881000,370189
2022-12-10,79500000,71270000,372820
2022-12-11,86000000,72410000,379560
2022-12-12,89000000,73560000,385170
2022-12-13,91000000,73230000,383390
2022-12-14,89500000,73230000,378280
2022-12-15,89500000,73230000,378280
2022-12-17,91000000,75430000,393270
2022-12-18,90000000,76510000,396790
2022-12-19,89500000,75460000,391460
2022-12-20,89250000,76620000,396330
2022-12-21,90500000,78010000,397610
2022-12-22,90500000,78010000,390500
2022-12-24,95000000,79930000,410030
2022-12-25,94500000,81380000,414940
2022-12-26,94500000,81380000,397210
2022-12-28,100000000,82930000,434360
2022-12-29,100000000,82930000,416150
2022-12-31,87000000,80320000,411740
2023-01-01,88000000,80160000,409530
2023-01-02,87000000,77800000,397380
2023-01-03,86000000,78170000,397550
2023-01-04,85000000,78180000,400620
2023-01-05,85000000,78180000,394830
2023-01-07,86500000,82230000,410890
2023-01-08,83280000,81745000,407650
2023-01-10,80000000,81770000,408300
2023-01-11,77000000,83085000,409413
2023-01-14,77000000,83240000,409770
2023-01-15,79000000,84110000,411170
2023-01-16,86000000,86290000,418810
2023-01-17,93000000,87810000,431800
2023-01-18,97900000,89304000,439761
2023-01-21,102000000,90330000,449400
2023-01-22,94000000,90230000,448320
2023-01-23,90000000,88190000,435850
2023-01-24,88000000,89340000,437620
2023-01-25,91140000,91210000,438080
2023-01-28,92500000,92520000,448210
2023-01-29,92000000,91480000,446050
2023-01-30,91500000,89710000,447300
2023-01-31,92500000,92760000,447040
2023-02-01,93100000,91782000,449250
2023-02-05,92000000,89660000,449400
2023-02-06,91500000,89580000,442370
2023-02-07,92000000,90420000,445610
2023-02-08,94420000,93137000,450651
2023-02-12,93500000,91810000,456050
2023-02-13,94000000,92840000,459070
2023-02-14,96890000,94437000,457108
2023-02-16,100000000,95360000,451120
2023-02-19,107000000,101540000,499020
2023-02-20,103500000,100210000,498910
2023-02-21,105000000,103990000,511050
2023-02-22,111400000,117650000,525831
2023-02-25,115100000,116770000,584930
2023-02-26,109600000,114651000,584380
2023-02-27,106180000,119996000,559340
2023-02-28,107100000,108610000,556510
2023-03-01,106200000,108870000,556478
2023-03-04,105000000,101560000,509000
2023-03-05,99000000,101670000,511040
2023-03-06,97600000,100510000,503480
2023-03-08,91500000,89145000,492988
2023-03-11,92000000,86310000,445050
2023-03-12,99000000,94010000,452840
2023-03-13,110000000,98920000,470800
2023-03-14,109000000,100360000,469470
2023-03-15,110000000,108486000,467919
2023-03-18,118200000,114360000,481014
2023-03-25,118000000,113256000,507910
2023-03-26,118000000,111857000,510920
2023-03-27,118800000,112201000,511900
2023-03-28,118800000,112082000,511750
2023-03-29,117500000,113978000,546655
2023-04-03,117000000,111890000,511080
2023-04-04,118000000,112410000,511080
2023-04-05,116000000,110460000,507990
2023-04-06,116300000,110398000,510483
2023-04-08,115900000,107740000,503080
2023-04-10,117000000,110650000,508880
2023-04-12,116300000,109397000,510019
2023-04-15,117000000,110440000,512590
2023-04-16,117000000,112010000,514550
2023-04-17,116000000,110650000,517570
2023-04-18,116530000,112220000,517080
2023-04-19,116380000,112038000,516069
2023-04-23,116200000,111424000,517759
2023-04-25,116350000,111420000,517810
2023-04-26,123000000,115150000,535050
2023-04-27,123000000,115150000,532830
2023-04-29,125500000,118910000,549090
2023-04-30,127500000,119000000,557350
2023-05-01,125000000,117910000,546450
