2022-10-02,53500000
2022-10-01,53500000
2022-09-29,50500000
2022-09-28,50500000
2022-09-26,50000000
2022-09-24,50120000
2022-09-22,50000000
2022-09-21,50000000
2022-09-20,49400000
2022-09-19,49770000
2022-09-18,50000000
2022-09-15,51500000
2022-09-14,51500000
2022-09-13,52500000
2022-09-12,53000000
2022-09-11,52500000
2022-09-10,50300000
2022-09-08,49800000
2022-09-07,49800000
2022-09-06,50000000
2022-09-05,50300000
2022-09-04,50200000
2022-09-03,50000000
2022-09-01,49500000
2022-08-31,49500000
2022-08-30,50000000
2022-08-29,49500000
2022-08-28,50000000
2022-08-27,50000000
2022-08-25,49000000
2022-08-24,49000000
2022-08-23,47500000
2022-08-22,48000000
2022-08-21,48000000
2022-08-20,45500000
2022-08-18,47650000
2022-08-17,47650000
2022-08-16,47500000
2022-08-15,49000000
2022-08-14,48000000
2022-08-13,49500000
2022-08-11,51500000
2022-08-10,51500000
2022-08-09,51800000
2022-08-06,51860000
2022-08-04,51900000
2022-08-03,51900000
2022-08-02,51800000
2022-08-01,52000000
2022-07-31,52000000
2022-07-30,52300000
2022-07-28,52200000
2022-07-27,52200000
2022-07-26,52300000
2022-07-25,52200000
2022-07-24,51500000
2022-07-23,52500000
2022-07-21,51000000
2022-07-20,51000000
2022-07-19,51500000
