2021-07-05,250990
2021-07-04,249590
2021-07-03,251500
2021-07-01,251510
2021-06-30,251530
2021-06-29,253990
2021-06-28,249660
2021-06-27,247080
2021-06-26,246740
2021-06-24,241890
2021-06-23,241890
2021-06-22,241790
2021-06-21,242590
2021-06-20,241070
2021-06-19,239490
2021-06-17,244290
2021-06-16,244320
2021-06-15,241810
2021-06-14,240450
2021-06-13,239740
2021-06-12,240990
2021-06-10,239230
2021-06-09,239170
2021-06-08,241410
2021-06-07,239410
2021-06-03,234330
2021-06-02,237430
2021-06-01,234160
2021-05-31,234060
2021-05-30,238570
2021-05-29,234660
2021-05-27,226470
2021-05-26,232390
2021-05-25,232150
2021-05-24,231240
2021-05-23,232790
2021-05-22,230650
2021-05-20,223000
2021-05-19,230020
2021-05-18,228240
2021-05-17,231150
2021-05-16,228860
2021-05-15,220500
2021-05-12,225850
2021-05-11,221850
2021-05-09,221816
2021-05-08,216460
2021-05-06,206480
2021-05-05,216990
2021-05-03,220210
2021-05-02,220360
2021-05-01,221710
2021-04-29,232310
2021-04-28,235220
2021-04-27,237210
2021-04-26,236670
2021-04-25,236920
2021-04-24,237320
2021-04-22,233300
2021-04-21,238640
2021-04-20,241840
2021-04-19,241810
2021-04-18,240540
2021-04-17,246180
2021-04-15,239870
2021-04-14,250150
2021-04-13,248970
2021-04-12,250320
2021-04-11,249950
2021-04-10,247490
2021-04-08,244660
2021-04-07,247990
2021-04-06,250610
2021-04-05,252450
2021-04-04,249240
2021-04-03,249460
2021-03-31,257520
2021-03-30,257960
2021-03-28,252330
2021-03-27,256240
2021-03-24,251487
2021-03-18,239630
2021-03-17,251340
2021-03-16,248990
2021-03-15,248510
2021-03-14,247240
2021-03-13,246540
2021-03-10,242420
2021-03-09,245830
2021-03-08,246480
2021-03-07,247060
2021-03-06,247760
2021-03-04,246610
2021-03-03,249760
2021-03-02,253090
2021-03-01,252670
2021-02-28,254250
2021-02-27,253450
2021-02-24,248210
2021-02-23,254010
2021-02-22,251390
2021-02-21,245040
2021-02-20,247040
2021-02-18,251710
2021-02-17,259450
2021-02-16,258030
2021-02-15,261450
2021-02-14,254980
2021-02-13,257450
2021-02-11,246960
2021-02-09,241030
2021-02-08,251480
2021-02-07,249780
2021-02-06,243850
2021-02-04,237470
2021-02-03,239070
2021-02-02,239490
2021-02-01,243480
2021-01-31,240850
2021-01-30,244440
