2023-03-19,112626000
2023-03-18,114360000
2023-03-15,108486000
2023-03-14,100360000
2023-03-13,98920000
2023-03-12,94010000
2023-03-11,86310000
2023-03-08,89145000
2023-03-07,100316000
2023-03-06,100510000
2023-03-05,101670000
2023-03-04,101560000
2023-03-01,108870000
2023-02-28,108610000
2023-02-27,119996000
2023-02-26,114651000
2023-02-25,116770000
2023-02-22,117650000
2023-02-21,103990000
2023-02-20,100210000
2023-02-19,101540000
2023-02-16,95360000
2023-02-14,94437000
2023-02-13,92840000
2023-02-12,91810000
2023-02-08,93137000
2023-02-07,90420000
2023-02-06,89580000
2023-02-05,89660000
2023-02-01,91782000
2023-01-31,92760000
2023-01-30,89710000
2023-01-29,91480000
2023-01-28,92520000
2023-01-25,91210000
2023-01-24,89340000
2023-01-23,88190000
2023-01-22,90230000
2023-01-21,90330000
2023-01-18,89304000
2023-01-17,87810000
2023-01-16,86290000
2023-01-15,84110000
2023-01-14,83240000
2023-01-11,83085000
2023-01-10,81770000
2023-01-08,81745000
2023-01-07,82230000
